# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
1.0,141.93607492495707,43.34984683978795,-2.4731393689859638,141.9215533004844,43.36665675711694,-0.001453953964301036,141.9362624923787,43.32617751497116,-2.50787132505684,141.9504089820081,43.35670624727575,-4.910092827936751,5.0,10688667.852460913,0.04031800755916665,56.837047096560006
2.0,141.93724008284386,43.36783330206267,-2.669822912774786,141.9504089820081,43.35670624727575,-4.910092827936751,141.9397579660391,43.3801369017953,-3.097921956423306,141.9215533004844,43.36665675711694,-0.001453953964301036,5.0,5965070.306274366,0.005573869129817134,56.84252613476066
3.0,141.93415731347343,43.39695540875254,-2.1438831702110592,141.9215533004844,43.40536550861619,0.0,141.9397579660391,43.3801369017953,-3.097921956423306,141.9411606738968,43.40536381584614,-3.333727554209872,5.0,5172881.5024550455,0.03591538189565234,56.83017560798044
4.0,141.92762152233595,43.384053055842806,-1.0331253034625356,141.9215533004844,43.36665675711694,-0.001453953964301036,141.9397579660391,43.3801369017953,-3.097921956423306,141.9215533004844,43.40536550861619,0.0,5.0,7373399.017419051,0.01265054441233214,56.84492625360203
5.0,141.97038464254587,43.39443214941331,-8.296931610249885,141.9607885851518,43.40535876628257,-6.667061094189194,141.9699282805681,43.37258733258439,-8.223733736560462,141.9804370619177,43.40535034937298,-10.0,5.0,6720482.488566083,0.06515873832929003,56.76898991218965
6.0,141.94827539072648,43.33581739508963,-4.552714732294892,141.9504089820081,43.35670624727575,-4.910092827936751,141.9362624923787,43.32617751497116,-2.50787132505684,141.9581546977926,43.32456842302196,-6.240180043891087,5.0,7244326.547684073,0.10171483607005737,56.89788971093029
7.0,141.95250585917657,43.3978121957299,-5.2616811642995645,141.9411606738968,43.40536381584614,-3.333727554209872,141.9555683184811,43.38271400506098,-5.784254844499628,141.9607885851518,43.40535876628257,-6.667061094189194,5.0,4644167.655956551,0.05559576301477507,56.79959847705797
8.0,141.98833004041094,43.362983680282355,-10.259550699465157,141.9699282805681,43.37258733258439,-8.223733736560462,141.9924567332151,43.34392116358314,-10.90081151334198,142.0026051074496,43.37244254467954,-11.65410684849303,5.0,6884611.732131533,5.943672934059862,43.50985695813174
9.0,141.96209506140033,43.386886701309315,-6.891683225083095,141.9607885851518,43.40535876628257,-6.667061094189194,141.9555683184811,43.38271400506098,-5.784254844499628,141.9699282805681,43.37258733258439,-8.223733736560462,5.0,3949091.614391578,0.05147950684756167,56.79138168695324
10.0,141.9774458470406,43.35339602974582,-9.118605965022047,141.9699282805681,43.37258733258439,-8.223733736560462,141.9699525273386,43.34367959306993,-8.231272645163699,141.9924567332151,43.34392116358314,-10.90081151334198,5.0,5190460.973655974,0.07790389141704475,46.86788626878749
11.0,141.94549565280568,43.38940490756747,-4.071968118377602,141.9397579660391,43.3801369017953,-3.097921956423306,141.9555683184811,43.38271400506098,-5.784254844499628,141.9411606738968,43.40536381584614,-3.333727554209872,5.0,4131631.577463585,0.034099794583103325,56.81505341014854
12.0,141.96342992997157,43.35765772431002,-7.121699736553637,141.9504089820081,43.35670624727575,-4.910092827936751,141.9699525273386,43.34367959306993,-8.231272645163699,141.9699282805681,43.37258733258439,-8.223733736560462,5.0,5901177.523668582,0.03991133379240172,56.80460117501987
13.0,141.95863519368575,43.37066919497371,-6.30602713633228,141.9699282805681,43.37258733258439,-8.223733736560462,141.9555683184811,43.38271400506098,-5.784254844499628,141.9504089820081,43.35670624727575,-4.910092827936751,5.0,4448279.475176719,0.026278433235809716,56.79951325358952
